愛,あい,憎,ぞう
内面,うちづら,外面,そとづら
内法,うちのり,外法,そとのり
内堀,うちぼり,外堀,そとぼり
内孫,うちまご,外孫,そとまご
内股,うちまた,外股,そとまた
美しい,うつくしい,醜い,みにくい
雨天,うてん,晴天,せいてん
右派,うは,左派,さは
右翼,うよく,左翼,さよく
裏,うら,表,おもて
裏方,うらかた,表方,おもてかた
裏声,うらごえ,地声,じごえ
裏地,うらじ,表地,おもてじ
裏門,うらもん,正門･表門,せいもん･おもてもん
売値,うりね,買値･元値,かいね･もとね
売物,うりもの,非売品,ひばいひん
潤う･湿る･濡れる,うるおう･しめる･ぬれる,渇く,かわく
嬉しい,うれしい,悲しい,かなしい
上手,うわて･じょうず,下手,したて･へた
上役,うわやく,下役,したやく
鋭角,えいかく,鈍角,どんかく
永久歯,えいきゅうし,乳歯,にゅうし
栄達,えいたつ,零落,れいらく
鋭敏･敏活･敏速,えいびん･びんかつ･びんそく,遅鈍,ちどん
液化,えきか,気化,きか
益虫,えきちゅう,害虫,がいちゅう
益鳥,えきちょう,害鳥,がいちょう
枝葉,えだは,根幹,こんかん
得手,えて,不得手,ふえて
遠因,えんいん,近因,きんいん
演繹,えんえき,帰納,きのう
沿海,えんかい,遠洋,えんよう
沿岸･岸辺,えんがん･きしべ,沖合い,おきあい
婉曲,えんきょく,露骨,ろこつ
円形,えんけい,方形,ほうけい
遠景,えんけい,近景,きんけい
遠視,えんし,近視,きんし
遠心力,えんしんりょく,求心力,きゅうしんりょく
衍字,えんじ,脱字,だつじ
厭世的,えんせいてき,楽天的,らくてんてき
厭戦,えんせん,好戦,こうせん
円高,えんだか,円安,えんやす
延着,えんちゃく,早着,そうちゃく
延長,えんちょう,短縮,たんしゅく
炎熱,えんねつ,酷寒,こっかん
延納,えんのう,前納,ぜんのう
遠方,えんぽう,近所,きんじょ
遠洋,えんよう,近海,きんかい
甥,おい,姪,めい
追い風,おいかぜ,向かい風,むかいかぜ
追う,おう,逃げる,にげる
往航,おうこう,復航,ふっこう
往信,おうしん,返信,へんしん
往時,おうじ,近時,きんじ
王子,おうじ,王女,おうじょ
皇子,おうじ,皇女,おうじょ
王者,おうじゃ,覇者,はしゃ
応訴,おうそ,提訴,ていそ
横隊,おうたい,縦隊,じゅうたい
横断,おうだん,縦断,じゅうだん
応答,おうとう,質疑,しつぎ
媼,おうな,翁,おきな
欧文,おうぶん,邦文･和文,ほうぶん･わぶん
往訪,おうほう,来訪,らいほう
凹面,おうめん,凸面,とつめん
往路,おうろ,復路･帰路,ふくろ･きろ
終える,おえる,始める,はじめる
大雨,おおあめ,小雨,こさめ
多い,おおい,少ない,すくない
大型,おおがた,小型,こがた
大形,おおがた,小形,こがた
大柄,おおがら,小柄,こがら
大きい,おおきい,小さい,ちいさい
大勢,おおぜい,小勢,こぜい
大鼓,おおつづみ,小鼓,こつづみ
大道具,おおどうぐ,小道具,こどうぐ
大股,おおまた,小股,こまた
大物,おおもの,雑魚,ざこ
大家,おおや,店子,たなこ
公,おおやけ,私,わたくし
大技,おおわざ,小技,こわざ
陸稲,おかぼ,水稲,すいとう
起きる,おきる,寝る･伏す･臥す,ねる･ふす
屋外･戸外･野外･露天,おくがい･こがい･やがい･ろてん,屋内,おくない
奥手･晩熟,おくて･ばんじゅく,早熟,そうじゅく
晩生,おくて･ばんせい,早生,わせ
晩稲,おくて･ばんとう,早稲,わせ
奥宮･別宮,おくみや･べつみや,元宮･本宮,もとみや･ほんぐう
送る,おくる,迎える,むかえる
遅れだす,おくれだす,速まる,はやまる
後れる,おくれる,先んじる,さきんじる
遅れる,おくれる,早まる,はやまる
起こす,おこす,倒す,たおす
怠る,おこたる,務める,つとめる
興る,おこる,亡びる,ほろびる
治まる,おさまる,乱れる,みだれる
伯父･叔父,おじ,伯母･叔母,おば
雄,おす,雌,めす
遅め,おそめ,早め,はやめ
教わる,おそわる,教える,おしえる
夫,おっと,妻,つま
男,おとこ,女,おんな
男坂,おとこざか,女坂,おんなざか
男鰥,おとこやもめ,女寡,おんなやもめ
衰える,おとろえる,栄える,さかえる
同じ･等しい,おなじ･ひとしい,異なる,ことなる
雄花,おばな,雌花,めばな
覚える･思い出す,おぼえる･おもいだす,忘れる,わすれる
重い,おもい,軽い,かるい
面舵,おもかじ,取舵,とりかじ
親,おや,子,こ
親方,おやかた,弟子,でし
親分,おやぶん,子分,こぶん
愚か,おろか,賢い,かしこい
卸す,おろす,仕入れる,しいれる
終わる,おわる,始まる,はじまる
温,おん,冷,れい
音,おん,訓,くん
穏健,おんけん,過激,かげき
御社･貴社,おんしゃ･きしゃ,弊社,へいしゃ
温色,おんしょく,冷色,れいしょく
温泉,おんせん,冷泉,れいせん
温帯･熱帯,おんたい･ねったい,寒帯,かんたい
温暖,おんだん,寒冷,かんれい
音読,おんどく,黙読,もくどく
雄鶏,おんどり,雌鳥,めんどり
温風,おんぷう,冷風,れいふう
可,か,否,ひ
下位,かい,上位,じょうい
改悪,かいあく,改善,かいぜん
飼い犬,かいいぬ,野良犬,のらいぬ
開院,かいいん,閉院,へいいん
海運･水運,かいうん･すいうん,空輸･陸運,くうゆ･りくうん
開演,かいえん,終演,しゅうえん
階下,かいか,階上,かいじょう
開会,かいかい,閉会,へいかい
開館,かいかん,閉館,へいかん
海外,かいがい,国内,こくない
皆既食,かいきしょく,金環食･部分食,きんかんしょく･ぶぶんしょく
開業,かいぎょう,廃業,はいぎょう
開校,かいこう,廃校･閉校,はいこう･へいこう
開国,かいこく,鎖国,さこく
開始,かいし,終了,しゅうりょう
開式,かいしき,閉式,へいしき
開戦,かいせん,終戦,しゅうせん
快足,かいそく,鈍足,どんそく
海賊,かいぞく,山賊,さんぞく
解体,かいたい,合体,がったい
解団,かいだん,結団,けつだん
快調,かいちょう,不調･乱調,ふちょう･らんちょう
開廷,かいてい,閉廷,へいてい
開店,かいてん,閉店,へいてん
回答,かいとう,質問･要求,しつもん･ようきゅう
買主,かいぬし,売主,うりぬし
解氷,かいひょう,結氷,けっぴょう
海風,かいふう,陸風,りくふう
解放,かいほう,拘束･閉鎖,こうそく･へいさ
開幕,かいまく,閉幕,へいまく
開門,かいもん,閉門,へいもん
海路･水路,かいろ･すいろ,陸路･空路,りくろ･くうろ
嬶,かかあ,亭主,ていしゅ
加害,かがい,被害,ひがい
夏季･夏期,かき,冬季･冬期,とうき
下記,かき,上記,じょうき
下級,かきゅう,上級,じょうきゅう
加給,かきゅう,減給,げんきゅう
家禽,かきん,野禽,やきん
加虐,かぎゃく,被虐,ひぎゃく
架空,かくう,実在,じつざい
確信,かくしん,危惧,きぐ
革新,かくしん,保守,ほしゅ
拡大,かくだい,縮小,しゅくしょう
獲得,かくとく,喪失,そうしつ
擱筆,かくひつ,起筆,きひつ
各論,かくろん,総論,そうろん
掛け算,かけざん,割り算,わりざん
可決,かけつ,否決,ひけつ
下限,かげん,上限,じょうげん
寡言,かげん,多言,たごん
過去,かこ,未来,みらい
下降,かこう,上昇,じょうしょう
化合,かごう,混合,こんごう
籠耳,かごみみ,袋耳,ふくろみみ
火災,かさい,水害,すいがい
寡作,かさく,多作,たさく
佳作･傑作,かさく･けっさく,駄作,ださく
加算,かさん,減算,げんさん
風上,かざかみ,風下,かざしも
貸し,かし,借り,かり
華氏(温度),かし,摂氏(温度),せっし
下肢,かし,上肢,じょうし
過失,かしつ,故意,こい
貨車,かしゃ,客車,きゃくしゃ
貸家,かしや,借家,かりや
河床,かしょう,川面,かわも
過小,かしょう,過大,かだい
過少,かしょう,過多,かた
火食,かしょく,生食,せいしょく
加重,かじゅう,軽減,けいげん
霞,かすみ,霧,きり
仮性･擬似,かせい･ぎじ,真性,しんせい
過疎,かそ,過密,かみつ
下層,かそう,上層,じょうそう
仮葬･密葬,かそう･みっそう,本葬,ほんそう
加速,かそく,減速,げんそく
堅い,かたい,脆い,もろい
固い,かたい,緩い,ゆるい
硬い,かたい,軟らかい･柔らかい,やわらかい
難い,かたい,易い,やすい
片親,かたおや,二親,ふたおや
片仮名,かたかな,平仮名,ひらがな
片側,かたがわ,両側,りょうがわ
片方,かたほう,双方･両方,そうほう･りょうほう
固まる,かたまる,崩れる･溶ける,くずれる･とける
下端,かたん,上端,じょうたん
勝ち戦,かちいくさ,負け戦,まけいくさ
活火山,かっかざん,休火山･死火山,きゅうかざん･しかざん
活動,かつどう,休止,きゅうし
下等,かとう,上等,じょうとう
仮名,かな,真名,しんな
加入,かにゅう,脱退,だったい
金持ち,かねもち,貧乏人,びんぼうにん
華美,かび,質実,しつじつ
被る･着る,かぶる･きる,脱ぐ,ぬぐ
可変,かへん,不変,ふへん
加法,かほう,減法,げんほう
神,かみ,仏,ほとけ
上座,かみざ,下座,しもざ
仮名･偽名,かめい･ぎめい,実名･本名,じつめい･ほんみょう
寡黙,かもく,饒舌,じょうぜつ
茅葺き,かやぶき,瓦葺き･藁葺き,かわらぶき･わらぶき
通い,かよい,住み込み,すみこみ
唐様,からよう,和様,わよう
下流,かりゅう,上流,じょうりゅう
下僚,かりょう,上官･上司,じょうかん･じょうし
火力発電,かりょくはつでん,水力発電,すいりょくはつでん
枯れ木,かれき,生木,なまき
可愛い,かわいい,憎い,にくい
川上,かわかみ,川下,かわしも
干害,かんがい,水害･冷害,すいがい･れいがい
官学,かんがく,私学,しがく
寒気,かんき,暑気･暖気,しょき･だんき
官軍,かんぐん,賊軍,ぞくぐん
簡潔,かんけつ,冗長･冗漫,じょうちょう･じょうまん
甘言,かんげん,苦言,くげん
還元,かんげん,酸化,さんか
還幸,かんこう,行幸,ぎょうこう
完工･落成,かんこう･らくせい,起工,きこう
完勝,かんしょう,完敗,かんぱい
寒色,かんしょく,暖色,だんしょく
間色,かんしょく,原色,げんしょく
官需･軍需,かんじゅ･ぐんじゅ,民需,みんじゅ
感情,かんじょう,理性,りせい
乾水,かんすい,豊水,ほうすい
鹹水,かんすい,淡水,たんすい
漢数字,かんすうじ,算用数字,さんようすうじ
官製,かんせい,私製,しせい
間接,かんせつ,直接,ちょくせつ
官選,かんせん,民選,みんせん
勧善,かんぜん,懲悪,ちょうあく
完全,かんぜん,不全,ふぜん
簡単,かんたん,複雑,ふくざつ
寛大,かんだい,厳格,げんかく
閑中,かんちゅう,忙中,ぼうちゅう
干潮,かんちょう,満潮,まんちょう
乾田,かんでん,湿田,しつでん
巻頭,かんとう,巻末,かんまつ
間道,かんどう,本道,ほんどう
官服･制服,かんぷく･せいふく,私服,しふく
潅木,かんぼく,喬木,きょうぼく
完本,かんぽん,欠本･端本,けっぽん･たんぽん
刊本･版本,かんぽん･はんぽん,写本,しゃほん
官有,かんゆう,民有,みんゆう
官立,かんりつ,私立,しりつ
簡略,かんりゃく,煩雑,はんざつ
寒流,かんりゅう,暖流,だんりゅう
緩流,かんりゅう,急流,きゅうりょう
完了,かんりょう,未完･未了,みかん･みりょう
外因,がいいん,内因,ないいん
外苑,がいえん,内苑,ないえん
外海,がいかい,内海,ないかい
外界,がいかい,内界,ないかい
外角,がいかく,内角,ないかく
外患,がいかん,内憂,ないゆう
外勤,がいきん,内勤,ないきん
外向,がいこう,内向,ないこう
外在,がいざい,内在,ないざい
外周,がいしゅう,内周,ないしゅう
外史･野史,がいし･やし,正史,せいし
外字,がいじ,邦字,ほうじ
外耳,がいじ,内耳,ないじ
外事,がいじ,内事,ないじ
外需,がいじゅ,内需,ないじゅ
外政,がいせい,内政,ないせい
外戚,がいせき,内戚,ないせき
外線,がいせん,内線,ないせん
外装,がいそう,内装,ないそう
外地,がいち,内地,ないち
外的,がいてき,内的,ないてき
外部,がいぶ,内部,ないぶ
外務,がいむ,内務,ないむ
外面,がいめん,内面,ないめん
概論,がいろん,細論,さいろん
岳父,がくふ,岳母,がくぼ
雅語,がご,俗語,ぞくご
合唱,がっしょう,斉唱･独唱,せいしょう･どくしょう
画幅,がふく,書幅,しょふく
贋札,がんさつ,真札,しんさつ
機械編み,きかいあみ,手編み,てあみ
既刊,きかん,未刊,みかん
器楽,きがく,声楽,せいがく
聞き手,ききて,話し手,はなして
貴金属,ききんぞく,卑金属,ひきんぞく
既決,きけつ,未決,みけつ
起稿,きこう,脱稿,だっこう
起工･着工,きこう･ちゃっこう,竣工,しゅんこう
既婚,きこん,未婚,みこん
期首,きしゅ,期末,きまつ
起首,きしゅ,末尾,まつび
