愛,あい,憎,ぞう
硬貨,こうか,紙幣,しへい
公海,こうかい,領海,りょうかい
降格,こうかく,昇格,しょうかく
高雅,こうが,卑俗,ひぞく
構外,こうがい,構内,こうない
後学,こうがく,先学,せんがく
高額,こうがく,小額･低額,しょうがく･ていがく
降給,こうきゅう,昇給,しょうきゅう
硬球,こうきゅう,軟球,なんきゅう
高級,こうきゅう,低級,ていきゅう
高給,こうきゅう,薄給,はっきゅう
好況,こうきょう,不況,ふきょう
拘禁,こうきん,釈放,しゃくほう
高吟,こうぎん,低吟･低唱,ていぎん･ていしょう
厚遇,こうぐう,冷遇,れいぐう
後景,こうけい,前景,ぜんけい
公権,こうけん,私権,しけん
攻撃,こうげき,守備,しゅび
巧言,こうげん,令色,れいしょく
後攻,こうこう,先攻,せんこう
孝行,こうこう,不孝,ふこう
硬骨,こうこつ,軟骨,なんこつ
硬式,こうしき,軟式,なんしき
公室,こうしつ,私室,ししつ
硬質,こうしつ,軟質,なんしつ
後者,こうしゃ,前者,ぜんしゃ
降車,こうしゃ,乗車,じょうしゃ
好守,こうしゅ,拙守,せっしゅ
公傷,こうしょう,私傷,ししょう
高唱,こうしょう,低唱,ていしょう
後身,こうしん,前身,ぜんしん
公事,こうじ,私事,しじ
高次,こうじ,低次,ていじ
口授,こうじゅ,口受,こうじゅ
後述,こうじゅつ,前述,ぜんじゅつ
口述,こうじゅつ,筆述,ひつじゅつ
向上,こうじょう,低下,ていか
後人,こうじん,先人,せんじん
後陣,こうじん,先陣,せんじん
公人,こうじん,私人,しじん
攻勢,こうせい,守勢,しゅぜい
高声,こうせい,低声,ていせい
公設,こうせつ,私設,しせつ
高燥,こうそう,低湿,ていしつ
後退,こうたい,前進,ぜんしん
後段,こうだん,前段,ぜんだん
巧遅,こうち,拙速,せっそく
高地,こうち,低地,ていち
好調,こうちょう,不調･乱調,ふちょう･らんちょう
公邸,こうてい,私邸,してい
肯定,こうてい,否定,ひてい
公的,こうてき,私的,してき
後天,こうてん,先天,せんてん
公転,こうてん,自転,じてん
荒天,こうてん,好天,こうてん
高騰,こうとう,低落,ていらく
公道,こうどう,私道,しどう
行動,こうどう,思索,しさく
購入,こうにゅう,販売,はんばい
降任,こうにん,昇任,しょうにん
硬派,こうは,軟派,なんぱ
後輩,こうはい,先輩,せんぱい
後発,こうはつ,先発,せんぱつ
後半,こうはん,前半,ぜんはん
購買,こうばい,販売,はんばい
降板,こうばん,登板,とうばん
公費,こうひ,私費,しひ
硬筆,こうひつ,毛筆,もうひつ
後尾,こうび,先頭,せんとう
公憤,こうふん,私憤,しふん
後部,こうぶ,前部,ぜんぶ
公文書,こうぶんしょ,私文書,しぶんしょ
後方,こうほう,前方,ぜんぽう
高木,こうぼく,低木,ていぼく
巧妙･優秀,こうみょう･ゆうしゅう,拙劣,せつれつ
公有,こうゆう,私有,しゆう
公用,こうよう,私用,しよう
広葉樹,こうようじゅ,針葉樹,しんようじゅ
公利,こうり,私利,しり
高利,こうり,低利,ていり
高率,こうりつ,低率,ていりつ
後略,こうりゃく,前略,ぜんりゃく
興隆,こうりゅう,衰亡･滅亡,すいぼう･めつぼう
講和,こうわ,宣戦,せんせん
国外･国際,こくがい･こくさい,国内,こくない
国産,こくさん,舶来,はくらい
酷暑,こくしょ,酷寒,こっかん
国税,こくぜい,地方税,ちほうぜい
心強い,こころづよい,心細い,こころぼそい
古豪,こごう,新鋭,しんえい
古参,こさん,新参,しんざん
古人,こじん,今人,こんじん
答える,こたえる,訊く･尋ねる･問う,きく･たずねる･とう
拒む,こばむ,諾する,だくする
小兵,こへい,大兵,だいひょう
古米,こまい,新米,しんまい
混む,こむ,空く,すく
混血,こんけつ,純血,じゅんけつ
困難,こんなん,容易,ようい
今般,こんぱん,先般,せんぱん
業因,ごういん,業果,ごうか
号外,ごうがい,本紙,ほんし
合計･総計,ごうけい･そうけい,小計,しょうけい
剛健,ごうけん,柔弱,にゅうじゃく
強情,ごうじょう,柔順,じゅうじゅん
合成,ごうせい,分解･天然,ぶんかい･てんねん
強盗,ごうとう,窃盗,せっとう
豪農･富農,ごうのう･ふのう,貧農,ひんのう
合法,ごうほう,非合法,ひごうほう
後覚,ごかく,先覚,せんかく
語幹･語頭,ごかん･ごとう,語尾,ごび
後記,ごき,前記,ぜんき
極暑,ごくしょ,極寒,ごくかん
極太,ごくぶと,極細,ごくぼそ
後刻,ごこく,先刻･即刻,せんこく･そっこく
午後,ごご,午前,ごぜん
後妻,ごさい,先妻,せんさい
御親父,ごしんぷ,御母堂,ごぼどう
誤字･俗字,ごじ･ぞくじ,正字,せいじ
後手,ごて,先手,せんて
誤答,ごとう,正答,せいとう
後場,ごば,前場,ぜんば
最悪,さいあく,最良,さいりょう
債権,さいけん,債務,さいむ
最古,さいこ,最新,さいしん
最高,さいこう,最低,さいてい
再婚,さいこん,初婚,しょこん
最後,さいご,最初,さいしょ
再出,さいしゅつ,初出,しょしゅつ
歳出,さいしゅつ,歳入,さいにゅう
最小,さいしょう,最大,さいだい
最少,さいしょう,最多,さいた
再診,さいしん,初診,しょしん
細心,さいしん,放胆,ほうたん
細則,さいそく,総則,そうそく
最短,さいたん,最長,さいちょう
再犯,さいはん,初犯,しょはん
細別,さいべつ,大別,たいべつ
細目,さいもく,大綱,たいこう
差益,さえき,差損,さそん
逆夢,さかゆめ,正夢,まさゆめ
逆らう,さからう,従う,したがう
朔,さく,晦日,みそか
咲く,さく,散る,ちる
挿し櫛,さしぐし,解き櫛,ときぐし
左遷,させん,栄転,えいてん
産後,さんご,産前,さんぜん
散在,さんざい,密集,みっしゅう
賛成,さんせい,反対,はんたい
散村,さんそん,集村,しゅうそん
山地,さんち,平地,へいち
山頂,さんちょう,麓･山麓,ふもと･さんろく
散発,さんぱつ,続発,ぞくはつ
散文的,さんぶんてき,詩的,してき
在家,ざいけ,出家,しゅっけ
座像,ざぞう,立像,りつぞう
雑然,ざつぜん,整然,せいぜん
座礼,ざれい,立礼,りつれい
試案,しあん,成案,せいあん
子音,しいん,母音,ぼいん
塩水,しおみず,真水,まみず
四角い,しかくい,丸い,まるい
市外,しがい,市内,しない
始期,しき,終期,しゅうき
支局,しきょく,本局,ほんきょく
始業,しぎょう,終業,しゅうぎょう
時化,しけ,凪,なぎ
醜女,しこめ･しゅうじょ･ぶおんな,美女,びじょ
死後,しご,生前,せいぜん
死者,ししゃ,生者,せいじゃ
支社,ししゃ,本社,ほんしゃ
支出,ししゅつ,収入,しゅうにゅう
雌蕊,しずい,雄蕊,ゆうずい
自殺,しせさつ,他殺,たさつ
自説,しせつ,他説,たせつ
私撰,しせん,勅撰,ちょくせん
支線,しせん,本線,ほんせん
自然･天然,しぜん･てんねん,人工,じんこう
子息,しそく,息女,そくじょ
死体,したい,生体,せいたい
支庁,しちょう,本庁,ほんちょう
失火,しっか,放火,ほうか
失効,しっこう,発効,はっこう
失職,しっしょく,就職,しゅうしょく
失点,しってん,得点,とくてん
失敗,しっぱい,成功,せいこう
失意,しつい,得意,とくい
失恋,しつれん,得恋,とくれん
仕手,して,脇,わき
子弟,してい,父兄,ふけい
始点,してん,終点,しゅうてん
支店,してん,本店,ほんてん
支点,してん,作用点･力点,さようてん･りきてん
始発,しはつ,終着,しゅうちゃく
縛る,しばる,解く,ほどく
雌伏,しふく,雄飛,ゆうひ
死別,しべつ,生別,せいべつ
萎む,しぼむ,膨らむ,ふくらむ
閉まる,しまる,開く,ひらく
締まる,しまる,緩む,ゆるむ
清水,しみず,濁水,だくすい
借用,しゃくよう,貸与,たいよ
舎兄,しゃけい,舎弟,しゃてい
車道,しゃどう,歩道,ほどう
首位,しゅい,最下位･末位,さいかい･まつい
主因,しゅいん,従因･副因,じゅういん･ふくいん
秋期,しゅうき,春期,しゅんき
秋季,しゅうき,春季,しゅんき
終局,しゅうきょく,発端,ほったん
集権,しゅうけん,分権,ぶんけん
秀才･天才,しゅうさい･てんさい,凡才,ぼんさい
秀作,しゅうさく,駄作･凡作,ださく･ぼんさく
秋思,しゅうし,春愁,しゅんしゅう
収縮,しゅうしゅく,膨張,ぼうちょう
終章,しゅうしょう,序章,じょしょう
就職,しゅうしょく,退職,たいしょく
収束,しゅうそく,紛糾,ふんきゅう
集中,しゅうちゅう,分散,ぶんさん
舅,しゅうと,姑,しゅうとめ
終盤,しゅうばん,序盤,じょばん
秋分,しゅうぶん,春分,しゅんぶん
終幕,しゅうまく,序幕,じょまく
修理,しゅうり,破損,はそん
秋冷,しゅうれい,春暖,しゅんだん
収賄,しゅうわい,贈賄,ぞうわい
主演,しゅえん,助演,じょえん
祝意,しゅくい,弔意,ちょうい
祝辞,しゅくじ,弔辞,ちょうじ
祝電,しゅくでん,弔電,ちょうでん
祝砲,しゅくほう,弔砲,ちょうほう
首座,しゅざ,末座,まつざ
主食,しゅしょく,副食,ふくしょく
主審,しゅしん,副審,ふくしん
主席,しゅせき,末席,まっせき
主戦,しゅせん,反戦,はんせん
手段,しゅだん,目的,もくてき
出荷,しゅっか,入荷,にゅうか
出金,しゅっきん,入金,にゅうきん
出港,しゅっこう,入港,にゅうこう
出国,しゅっこく,入国,にゅうこく
出社･入社,しゅっしゃ･にゅうしゃ,退社,たいしゃ
出廷･入廷,しゅってい･にゅうてい,退廷,たいてい
出発,しゅっぱつ,到着,とうちゃく
出兵,しゅっぺい,撤兵,てっぺい
出獄,しゅつごく,入獄,にゅうごく
取得,しゅとく,喪失,そうしつ
主役,しゅやく,脇役,わきやく
主翼,しゅよく,尾翼,びよく
主流,しゅりゅう,傍流,ぼうりゅう
駿足,しゅんそく,鈍足,どんそく
俊敏,しゅんびん,遅鈍,ちどん
俊敏,しゅんびん,魯鈍,ろどん
駿馬･優駿,しゅんめ･ゆうしゅん,駑馬,どば
小異,しょうい,大同,だいどう
勝因,しょういん,敗因,はいいん
小過,しょうか,大過,たいか
詳解,しょうかい,略解,りゃっかい
少額,しょうがく,多額,たがく
小器,しょうき,大器,たいき
詳記,しょうき,略記,りゃっき
消極,しょうきょく,積極,せっきょく
小魚,しょうぎょ,大魚,たいぎょ
正絹,しょうけん,人絹,じんけん
少考,しょうこう,長考,ちょうこう
勝者,しょうしゃ,敗者,はいしゃ
小身,しょうしん,大身,たいしん
詳述,しょうじゅつ,略述,りゃくじゅつ
小乗,しょうじょう,大乗,だいじょう
小人,しょうじん,大人,たいじん
少数,しょうすう,多数,たすう
賞する･許す,しょうする･ゆるす,罰する,ばっする
勝勢,しょうせい,敗勢,はいせい
勝訴,しょうそ,敗訴,はいそ
小胆,しょうたん,大胆,だいたん
消沈,しょうちん,揚揚,ようよう
小敵,しょうてき,大敵,たいてき
詳伝,しょうでん,略伝,りゃくでん
消灯,しょうとう,点灯,てんとう
小難,しょうなん,大難,だいなん
小破,しょうは,大破,たいは
消費,しょうひ,生産,せいさん
小品,しょうひん,大作,たいさく
勝報,しょうほう,敗報,はいほう
詳報,しょうほう,略報,りゃくほう
抄本,しょうほん,謄本,とうほん
正味,しょうみ,風袋,ふうたい
抄訳,しょうやく,全訳,ぜんやく
勝利,しょうり,敗北,はいぼく
小量,しょうりょう,大度,たいど
少量,しょうりょう,多量,たりょう
初夏,しょか,初冬･晩夏,しょとう･ばんか
初期,しょき,末期,まっき
食後,しょくご,食前,しょくぜん
諸兄,しょけい,諸姉,しょし
庶子,しょし,嫡子,ちゃくし
初秋,しょしゅう,初春･晩秋,しょしゅん･ばんしゅう
庶出,しょしゅつ,嫡出,ちゃくしゅつ
初春･早春,しょしゅん･そうしゅん,初秋･晩春,しょしゅう･ばんしゅん
書証･人証,しょしょう･じんしょう,物証,ぶっしょう
処女,しょじょ,童貞,どうてい
初冬,しょとう,初夏･晩冬,しょか･ばんとう
庶流,しょりゅう,嫡流,ちゃくりゅう
支流,しりゅう,本流,ほんりゅう
進化,しんか,退化,たいか
深海,しんかい,浅海,せんかい
新顔,しんがお,古顔,ふるがお
新奇,しんき,陳腐,ちんぷ
親近,しんきん,疎遠,そえん
進撃,しんげき,退却,たいきゃく
心材,しんざい,辺材,へんざい
進取,しんしゅ,退嬰,たいえい
辛勝,しんしょう,惜敗,せきはい
深層,しんそう,表層,ひょうそう
進展,しんてん,停頓,ていとん
親日,しんにち,反日,はんにち
新本,しんぽん,古本,ふるほん
親密,しんみつ,疎遠,そえん
深慮,しんりょ,浅慮,せんりょ
進路,しんろ,退路,たいろ
字音,じおん,字訓,じくん
持戒,じかい,破戒,はかい
自我,じが,彼我,ひが
磁器,じき,陶器,とうき
直筆,じきひつ,代筆,だいひつ
自国,じこく,他国,たこく
事後,じご,事前,じぜん
地獄,じごく,天国,てんごく
自社,じしゃ,他社,たしゃ
爺,じじ,婆,ばば
自序,じじょ,他序,たじょ
自薦,じせん,他薦,たせん
自損,じそん,他損,たそん
実家,じっか,養家,ようか
実子,じっし,継子･養子,ままこ･ようし
実線,じっせん,点線･破線,てんせん･はせん
実父,じっぷ,義父･養父･継父,ぎふ･ようふ･けいふ
実物･本物,じつぶつ･ほんもの,偽物,にせもの
実母,じつぼ,義母･養母,ぎぼ･ようぼ
自動,じどう,手動･他動,しゅどう･たどう
辞任･退任,じにん･たいにん,就任,しゅうにん
自筆,じひつ,代筆･他筆,だいひつ･たひつ
慈父,じふ,慈母,じぼ
自前,じまえ,丸抱え,まるがかえ
地味,じみ,派手,はで
地物,じもの,旅物,たびもの
邪道,じゃどう,正道,せいどう
従兄,じゅうけい,従弟,じゅうてい
重罪,じゅうざい,微罪,びざい
従姉,じゅうし,従妹,じゅうまい
充電,じゅうでん,放電,ほうでん
従犯,じゅうはん,正犯,せいはん
熟達,じゅくたつ,未熟,みじゅく
受章,じゅしょう,授章,じゅしょう
受賞,じゅしょう,授賞,じゅしょう
受信,じゅしん,送信･発信,そうしん･はっしん
受注,じゅちゅう,発注,はっちゅう
受電,じゅでん,打電,だでん
受動,じゅどう,能動,のうどう
純,じゅん,不純,ふじゅん
順調,じゅんちょう,不順,ふじゅん
順当,じゅんとう,不当,ふとう
上機嫌,じょうきげん,不機嫌,ふきげん
乗算,じょうざん,除算,じょざん
常時,じょうじ,不時,ふじ
上席,じょうせき,末席,まっせき
静脈,じょうみゃく,動脈,どうみゃく
常雇い,じょうやとい,臨時雇い,りんじやとい
叙事,じょじ,叙情,じょじょう
女児,じょじ,男児,だんじ
女性,じょせい,男性,だんせい
除籍,じょせき,入籍,にゅうせき
除隊,じょたい,入隊,にゅうたい
序文,じょぶん,拔文,ばつぶん
除喪,じょも,服喪,ふくも
女優,じょゆう,男優,だんゆう
自力,じりき,他力,たりき
自律,じりつ,他律,たりつ
人災,じんさい,天災,てんさい
人造,じんぞう,天然,てんねん
衰運,すいうん,盛運･降運･隆運,せいうん･こううん･りゅううん
吸い込む,すいこむ,吐き出す,はきだす
水彩,すいさい,油彩,ゆさい
水性,すいせい,油性,ゆせい
水生,すいせい,陸生,りくせい
衰退･衰微,すいたい･すいび,繁栄,はんえい
垂直,すいちょく,水平,すいへい
末,すえ,本,もと
廃れる,すたれる,流行る,はやる
澄む,すむ,濁る,にごる
鋭い,するどい,鈍い,にぶい
杜撰,ずさん,緻密,ちみつ
背,せ,腹,はら
瀬,せ,淵,ふち
正,せい,負,ふ
性悪説,せいあくせつ,性善説,せいぜんせつ
生花,せいか,造花,ぞうか
青眼･青視,せいがん･せいし,白眼･白目,はくがん･しろめ
成魚,せいぎょ,稚魚･幼魚,ちぎょ･ようぎょ
清潔･純潔,せいけつ･じゅんけつ,不潔,ふけつ
正妻･本妻,せいさい･ほんさい,内妻･妾,ないさい･めかけ
精子,せいし,卵子,らんし
正室,せいしつ,側室,そくしつ
精神･霊魂,せいしん･れいこん,肉体,にくたい
正字,せいじ,略字,りゃくじ
清浄,せいじょう,不浄,ふじょう
正数,せいすう,負数,ふすう
精製,せいせい,粗製,そせい
精巣,せいそう,卵巣,らんそう
正装･礼装,せいそう･れいそう,略装,りゃくそう
正則･通則,せいそく･つうそく,変則,へんそく
静態,せいたい,動態,どうたい
成虫,せいちゅう,幼虫,ようちゅう
晴天･雨天,せいてん･うてん,曇天,どんてん
精糖,せいとう,粗糖,そとう
正当,せいとう,不当,ふとう
精読･熟読,せいどく･じゅくどく,乱読,らんどく
青票,せいひょう,白票,はくひょう
正編,せいへん,続編,ぞくへん
生母,せいぼ,養母,ようぼ
西洋,せいよう,東洋,とうよう
清流,せいりゅう,濁流,だくりゅう
隻手,せきしゅ,双手･両手,そうしゅ･りょうて
積分,せきぶん,微分,びぶん
赤血球,せっけっきゅう,白血球,はっけっきゅう
拙筆,せっぴつ,能筆,のうひつ
節約,せつやく,浪費,ろうひ
背中合わせ,せなかあわせ,向かい合わせ,むかいあわせ
狭い,せまい,広い,ひろい
攻める,せめる,守る,まもる
先月,せんげつ,来月,らいげつ
戦後,せんご,戦前,せんぜん
船首,せんしゅ,船尾,せんび
戦勝,せんしょう,戦敗,せんぱい
先代,せんだい,当主,とうしゅ
先方,せんぽう,当方,とうほう
是,ぜ,非,ひ
舌戦,ぜっせん,筆戦,ひっせん
絶対,ぜったい,相対,そうたい
是認･容認,ぜにん･ようにん,否認,ひにん
全音,ぜんおん,半音,はんおん
全壊,ぜんかい,半壊,はんかい
全開･満開,ぜんかい･まんかい,半開,はんかい
漸減,ぜんげん,漸増,ぜんぞう
全勝,ぜんしょう,全敗,ぜんぱい
全焼,ぜんしょう,半焼,はんしょう
全身,ぜんしん,半身,はんしん
全体,ぜんたい,部分,ぶぶん
全納,ぜんのう,分納,ぶんのう
全裸,ぜんら,半裸,はんら
僧,そう,尼僧,にそう
創刊,そうかん,廃刊,はいかん
創業,そうぎょう,廃業,はいぎょう
僧家,そうけ,俗家,ぞっけ
早婚,そうこん,晩婚,ばんこん
早秋,そうしゅう,晩秋,ばんしゅう
草食･菜食,そうしょく･さいしょく,肉食,にくしょく
送辞,そうじ,答辞,とうじ
早熟,そうじゅく,晩熟,ばんじゅく
早成,そうせい,晩成,ばんせい
双発,そうはつ,単発,たんぱつ
草本,そうほん,木本,もくほん
壮麗,そうれい,老齢,ろうれい
即位,そくい,退位,たいい
促進,そくしん,抑制,よくせい
息女,そくじょ,息男,そくなん
即する,そくする,外れる,はずれる
速筆,そくひつ,遅筆,ちひつ
粗雑,そざつ,綿密,めんみつ
粗食,そしょく,美食,びしょく
速効,そっこう,遅効,ちこう
祖父,そふ,祖母,そぼ
粗野,そや,優雅,ゆうが
疎林,そりん,密林,みつりん
損,そん,得,とく
損失,そんしつ,利益,りえき
尊属,そんぞく,卑属,ひぞく
存置,そんち,廃止,はいし
尊父,そんぷ,母堂,ぼどう
村落,そんらく,都市,とし
続伸,ぞくしん,続落,ぞくらく
俗名,ぞくみょう,法名,ほうみょう
俗論,ぞくろん,卓論,たくろん
体育,たいいく,徳育,とくいく
太陰,たいいん,太陽,たいよう
退院,たいいん,入院･登院,にゅういん･とういん
大火,たいか,小火,ぼや
退会,たいかい,入会,にゅうかい
退官,たいかん,任官,にんかん
体外,たいがい,体内,たいない
対外,たいがい,対内,たいない
大愚,たいぐ,大賢,だいけん
体言,たいげん,用言,ようげん
退室,たいしつ,入室,にゅうしつ
大勝,たいしょう,大敗,たいはい
退場,たいじょう,入場,にゅうじょう
泰西,たいせい,泰東,たいとう
胎生,たいせい,卵生,らんせい
退団,たいだん,入団,にゅうだん
退庁,たいちょう,登庁,とうちょう
大要,たいよう,明細,めいさい
大漁･豊漁,たいりょう･ほうりょう,不漁,ふりょう
手弱女,たおやめ,益荒男,ますらお
高値,たかね,安値,やすね
鷹派,たかは,鳩派,はとは
高ぶる,たかぶる,謙る,へりくだる
滝口,たきくち,滝壷,たきつぼ
宅地,たくち,農地,のうち
他家,たけ,当家,とうけ
丈,たけ,裄,ゆき
多芸,たげい,無芸,むげい
多幸,たこう,薄幸,はっこう
多細胞,たさいぼう,単細胞,たんさいぼう
足し算,たしざん,引き算,ひきざん
多趣味,たしゅみ,没趣味,ぼっしゅみ
足す,たす,引く,ひく
多勢,たぜい,無勢,ぶぜい
立ち技,たちわざ,寝技,ねわざ
達弁･能弁,たつべん･のうべん,訥弁,とつべん
縦糸･経糸,たていと,横糸･緯糸,よこいと･ぬきいと
建前,たてまえ,本音,ほんね
垂れ幕,たれまく,引き幕,ひきまく
単眼,たんがん,複眼,ふくがん
短期,たんき,長期,ちょうき
単記,たんき,連記,れんき
短躯,たんく,長躯,ちょうく
短剣,たんけん,長剣,ちょうけん
短所,たんしょ,長所,ちょうしょ
短小,たんしょう,長大,ちょうだい
短身,たんしん,長身,ちょうしん
短針,たんしん,長針,ちょうしん
単数,たんすう,複数,ふくすう
単線,たんせん,複線,ふくせん
短調,たんちょう,長調,ちょうちょう
短刀,たんとう,長刀,ちょうとう
淡白,たんぱく,濃厚,のうこう
短髪,たんぱつ,長髪,ちょうはつ
単発,たんぱつ,連発,れんぱつ
短文,たんぶん,長文,ちょうぶん
単文,たんぶん,複文,ふくぶん
短編,たんぺん,長編,ちょうへん
短命,たんめい,長命,ちょうめい
単利,たんり,複利,ふくり
大吉,だいきち,大凶,だいきょう
代人,だいにん,本人,ほんにん
打診,だしん,聴診,ちょうしん
脱会,だっかい,入会,にゅうかい
脱党･離党,だっとう･りとう,入党,にゅうとう
脱衣,だつい,着衣,ちゃくい
駄馬,だば,名馬,めいば
断続,だんぞく,連続,れんぞく
暖房,だんぼう,冷房,れいぼう
地,ち,天,てん
地下,ちか,地上,ちじょう
近い,ちかい,遠い,とおい
近寄る,ちかよる,遠ざかる,とおざかる
恥辱,ちじょく,名誉,めいよ
治世,ちせい,乱世,らんせい
稚拙,ちせつ,老巧,ろうこう
父,ちち,母,はは
父方,ちちかた,母方,ははかた
縮む,ちぢむ,伸びる,のびる
遅鈍,ちどん,敏捷,びんしょう
着水,ちゃくすい,離水,りすい
着任,ちゃくにん,離任,りにん
着陸,ちゃくりく,離陸,りりく
昼間,ちゅうかん,夜間,やかん
中腹,ちゅうふく,頂上,ちょうじょう
朝刊,ちょうかん,夕刊,ゆうかん
長兄,ちょうけい,長姉･末弟,ちょうし･まってい
徴収,ちょうしゅう,納入,のうにゅう
長女･末弟,ちょうじょ･まってい,長男,ちょうなん
徴税,ちょうぜい,納税,のうぜい
朝廷,ちょうてい,幕府,ばくふ
直後,ちょくご,直前,ちょくぜん
直列,ちょくれつ,並列,へいれつ
直系,ちょっけい,傍系,ぼうけい
沈下･沈降,ちんか･ちんこう,隆起･浮上,りゅうき･ふじょう
賃借,ちんしゃく,賃貸,ちんたい
沈没,ちんぼつ,浮上,ふじょう
通常,つうじょう,臨時,りんじ
通有,つうゆう,特有,とくゆう
月夜,つきよ,闇夜,やみよ
旁,つくり,偏,へん
続ける,つづける,止める,やめる
強い,つよい,弱い,よわい
強気,つよき,弱気,よわき
強腰,つよごし,弱腰,よわごし
強火,つよび,弱火,よわび
強み,つよみ,弱み,よわみ
逓減,ていげん,逓増,ていぞう
停車,ていしゃ,発車,はっしゃ
亭主,ていしゅ,女房,にょうぼう
定数,ていすう,変数,へんすう
敵,てき,味方,みかた
敵軍,てきぐん,友軍,ゆうぐん
敵対,てきたい,友好,ゆうこう
転借,てんしゃく,転貸,てんたい
出城,でじろ,根城,ねじろ
伝授,でんじゅ,伝受,でんじゅ
統合,とうごう,分割,ぶんかつ
騰勢,とうせい,落勢,らくせい
当選･入選,とうせん･にゅうせん,落選,らくせん
当番,とうばん,非番,ひばん
外様,とざま,譜代,ふだい
年寄り,としより,若者,わかもの
閉じる,とじる,開く,ひらく
訥弁,とつべん,能弁,のうべん
整う,ととのう,乱れる,みだれる
滞る,とどこおる,捗る,はかどる
乏しい,とぼしい,豊か,ゆたか
富む,とむ,貧しい,まずしい
艫,とも,舳先,へさき
同居,どうきょ,別居,べっきょ
毒草,どくそう,薬草,やくそう
鈍感,どんかん,敏感,びんかん
鈍根,どんこん,利根,りこん
鈍重,どんじゅう,敏捷,びんしょう
貪欲,どんよく,無欲,むよく
内職,ないしょく,本職,ほんしょく
長い,ながい,短い,みじかい
長袖,ながそで,半袖,はんそで
長夜,ながよ,短夜,みじかよ
泣く,なく,笑う,わらう
夏,なつ,冬,ふゆ
生菓子,なまがし,干菓子,ひがし
生傷,なまきず,古傷,ふるきず
怠け者,なまけもの,働き者,はたらきもの
生物,なまもの,干物,ひもの
南下,なんか,北上,ほくじょう
難解,なんかい,平易･容易,へいい･ようい
南極,なんきょく,北極,ほっきょく
南端,なんたん,北端,ほくたん
兄さん,にいさん,姉さん,ねえさん
肉体,にくたい,霊魂,れいこん
肉太,にくぶと,肉細,にくぼそ
西,にし,東,ひがし
日没,にちぼつ,日の出,ひので
日勤,にっきん,夜勤,やきん
日本酒,にほんしゅ,洋酒,ようしゅ
日本間,にほんま,洋間,ようま
塗り物,ぬりもの,焼き物,やきもの
熱気,ねっき,冷気,れいき
熱心,ねっしん,冷淡,れいたん
眠る,ねむる,目覚める,めざめる
年少,ねんしょう,年長,ねんちょう
年始･年初,ねんし･ねんしょ,年末,ねんまつ
農夫,のうふ,農婦,のうふ
後,のち,前,まえ
飲み込む,のみこむ,吐き出す,はきだす
鈍い,のろい,速い,はやい
拝辞,はいじ,拝受,はいじゅ
拝殿,はいでん,本殿,ほんでん
葉書,はがき,封書,ふうしょ
剥奪,はくだつ,付与,ふよ
薄利,はくり,暴利,ぼうり
恥,はじ,誉れ,ほまれ
花婿,はなむこ,花嫁,はなよめ
浜手,はまて,山手,やまて
早霜,はやじも,晩霜,ばんそう
早道,はやみち,回り道,まわりみち
反抗,はんこう,服従,ふくじゅう
反騰,はんとう,反落,はんらく
売価,ばいか,買価,ばいか
倍数,ばいすう,約数,やくすう
爆風･暴風,ばくふう･ぼうふう,微風,びふう
晩年,ばんねん,幼年,ようねん
日陰,ひかげ,日向,ひなた
悲観,ひかん,楽観,らっかん
引き潮,ひきしお,満ち潮,みちしお
左利き,ひだりきき,右利き,みぎきき
筆頭,ひっとう,末尾,まつび
必要,ひつよう,不要,ふよう
必用,ひつよう,不用,ふよう
日長,ひなが,夜長,よなが
非凡,ひぼん,平凡･凡庸,へいぼん･ぼんよう
氷点,ひょうてん,沸点,ふってん
表面,ひょうめん,裏面,りめん
肥沃,ひよく,不毛,ふもう
昼間,ひるま,夜間,やかん
貧困,ひんこん,富裕,ふゆう
貧者,ひんじゃ,富者,ふしゃ
貧賤,ひんせん,富貴,ふうき
貧相,ひんそう,福相,ふくそう
比丘,びく,比丘尼,びくに
微減,びげん,微増,びぞう
美辞,びじ,麗句,れいく
美男,びなん,美女･醜男,びじょ･ぶおとこ
美風,びふう,弊風,へいふう
貧乏,びんぼう,裕福,ゆうふく
貧乏神,びんぼうがみ,福の神,ふくのかみ
不穏,ふおん,平穏,へいおん
不快,ふかい,愉快,ゆかい
副業,ふくぎょう,本業,ほんぎょう
復習,ふくしゅう,予習,よしゅう
父系,ふけい,母系,ぼけい
父権,ふけん,母権,ぼけん
不作,ふさく,豊作,ほうさく
父子,ふし,母子,ぼし
父性,ふせい,母性,ぼせい
付則,ふそく,本則,ほんそく
太い,ふとい,細い,ほそい
不便,ふべん,便利,べんり
増やす,ふやす,減らす,へらす
不愉快,ふゆかい,愉快,ゆかい
不利,ふり,有利,ゆうり
古手,ふるて,若手,わかて
紛争,ふんそう,和解,わかい
武人,ぶじん,文人,ぶんじん
武断,ぶだん,文治,ぶんち
分家,ぶんけ,本家,ほんけ
分校,ぶんこう,本校,ほんこう
分子,ぶんし,分母,ぶんぼ
文明,ぶんめい,野蛮,やばん
弊風,へいふう,良風,りょうふう
平服,へいふく,礼服,れいふく
平面,へいめん,立体,りったい
偏在,へんざい,遍在,へんざい
片帆,へんほ,真帆,まほ
別館,べっかん,本館,ほんかん
別宅,べったく,本宅,ほんたく
報恩,ほうおん,忘恩,ぼうおん
邦画,ほうが,洋画,ようが
